date,label,avg.temp_A,avg.temp_B,avg.temp_C,avg.temp_D,avg.temp_E,avg.wind.speed_A,avg.wind.speed_B,avg.wind.speed_C,avg.wind.speed_D,avg.wind.speed_E,max.inst.wind.speed_A,max.inst.wind.speed_B,max.inst.wind.speed_C,max.inst.wind.speed_D,max.inst.wind.speed_E,max.inst.wind.speed.dir_A,max.inst.wind.speed.dir_B,max.inst.wind.speed.dir_C,max.inst.wind.speed.dir_D,max.inst.wind.speed.dir_E,max.temp_A,max.temp_B,max.temp_C,max.temp_D,max.temp_E,max.wind.speed_A,max.wind.speed_B,max.wind.speed_C,max.wind.speed_D,max.wind.speed_E,max.wind.speed.dir_A,max.wind.speed.dir_B,max.wind.speed.dir_C,max.wind.speed.dir_D,max.wind.speed.dir_E,min.atmos.pressure_A,min.atmos.pressure_B,min.atmos.pressure_C,min.atmos.pressure_D,min.atmos.pressure_E,min.temp_A,min.temp_B,min.temp_C,min.temp_D,min.temp_E,precipitation_A,precipitation_B,precipitation_C,precipitation_D,precipitation_E
1b86b414,2,27.5,25.9,25.4,27.6,22.6,2.1,1.5,0.9,1.8,0.7,11.0,8.1,6.0,7.4,6.5,6,4,6,4,6,34.7,34.4,32.7,34.5,30.5,6.1,5.0,2.4,3.9,2.1,4,6,6,6,4,1011.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,22.6,20.9,20.8,21.5,16.7,0.5,38.5,0.0,0.0,0.0
1b9187a8,1,9.3,8.6,7.3,9.0,5.3,2.4,2.8,1.1,1.3,1.1,11.7,13.9,7.7,7.8,8.1,3,4,6,6,1,18.7,18.2,17.2,20.4,15.0,8.0,7.5,2.8,4.5,4.3,6,4,6,6,1,1007.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,2.0,-0.9,1.5,1.1,-1.0,0.0,0.0,0.0,0.0,0.0
1bd0da7f,2,14.3,13.6,11.9,14.2,9.8,2.7,2.5,1.0,1.3,0.9,11.4,10.9,6.0,6.2,7.2,7,6,6,6,3,20.4,20.4,19.9,21.8,18.0,7.4,6.0,2.4,3.5,3.0,7,6,6,6,6,1006.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,8.1,6.3,6.1,8.1,3.4,0.0,0.0,0.0,0.0,0.0
1c0ef479,2,2.3,1.0,1.2,3.4,-1.1,2.8,3.1,1.1,1.7,1.6,17.5,12.6,8.3,13.5,13.4,2,5,5,0,1,8.0,5.3,7.2,9.3,3.9,8.9,7.6,3.5,6.2,4.9,7,5,5,2,3,1005.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.4,-2.7,-3.1,-1.7,-4.5,0.0,0.0,0.5,0.0,0.5
1c128f24,2,-3.7,-3.8,-5.6,-2.2,-7.8,3.0,4.6,0.5,1.2,1.8,12.2,12.3,4.8,7.8,11.8,3,5,6,6,7,0.0,0.0,-3.1,2.6,-4.8,8.1,6.6,2.2,4.1,4.5,7,6,6,2,3,1011.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-6.6,-6.3,-8.1,-6.4,-10.9,0.0,0.0,0.0,0.0,0.0
1ce3bd4d,1,22.6,22.4,21.3,21.9,18.8,1.6,4.3,0.9,1.0,0.4,8.9,12.0,4.7,5.3,3.2,2,1,6,6,4,28.5,26.5,27.6,29.1,25.0,4.7,7.2,2.2,2.9,2.2,2,1,6,6,4,998.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.7,19.4,17.9,18.6,15.7,0.5,0.0,0.0,3.5,2.5
1df21821,2,9.8,9.2,8.1,9.8,5.9,2.3,2.6,1.4,1.6,1.0,9.5,11.2,6.6,7.8,7.8,6,4,6,6,4,20.1,19.9,18.3,20.7,15.8,6.0,6.7,2.9,4.4,3.1,6,4,6,6,4,1019.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,0.0,-1.8,-0.1,0.1,-2.4,0.0,0.0,0.0,0.0,0.0
1e3d2f38,2,17.7,17.0,15.5,17.8,14.5,1.8,1.8,0.8,1.1,0.7,7.1,11.5,6.9,5.2,5.5,6,4,3,7,4,24.7,24.1,23.7,25.1,23.3,4.8,5.7,2.1,3.1,2.1,6,4,2,7,3,1004.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,12.6,11.4,11.3,13.0,9.2,0.0,0.0,2.0,0.5,1.5
1e72dbb0,1,21.9,20.9,22.0,21.9,19.9,2.0,1.7,0.7,1.0,0.7,7.8,11.0,7.3,5.2,9.6,7,1,6,6,1,23.9,23.2,24.7,23.9,22.1,5.3,5.7,2.3,2.9,3.9,7,2,6,6,3,1004.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.0,18.9,19.6,20.1,17.4,35.5,76.5,51.5,57.0,77.0
1f0f34f7,2,11.4,10.4,10.4,12.2,7.4,1.4,2.5,1.2,1.0,0.9,5.7,9.0,7.2,4.8,6.7,2,2,1,6,4,20.5,19.3,19.0,19.6,15.8,3.2,5.9,2.9,2.8,2.9,5,2,2,6,4,1021.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,7.0,3.7,5.8,8.8,2.4,0.0,0.0,0.0,0.0,0.5
1f83569b,1,13.1,12.5,11.5,12.9,10.9,3.1,2.8,1.0,1.0,0.9,13.0,16.8,7.7,8.6,13.9,6,4,6,7,3,16.7,16.5,16.0,16.9,15.1,8.5,8.1,2.7,4.0,4.5,6,4,6,6,3,998.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,9.9,9.3,8.3,10.3,7.4,49.5,38.5,73.5,92.0,107.0
1f901d6e,2,11.1,10.7,8.8,11.3,6.0,3.5,2.7,1.2,1.9,1.5,15.6,15.5,9.4,10.3,9.2,3,4,7,6,3,18.0,18.2,16.9,19.1,14.1,8.9,8.5,3.5,5.5,4.2,3,5,6,6,3,1011.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,4.6,2.4,1.9,3.4,-1.5,0.0,0.0,0.0,0.0,0.0
1fd050c9,2,10.9,10.3,10.3,10.7,7.8,1.1,1.5,1.1,0.7,0.8,7.6,8.0,6.5,4.1,4.8,6,4,3,2,6,19.4,18.9,17.8,19.7,17.3,4.5,4.3,2.2,2.9,2.0,6,6,2,2,7,1024.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,3.6,3.8,5.6,4.0,1.3,0.0,0.0,0.0,0.0,0.0
1fde1c0d,2,6.2,4.7,5.5,5.6,2.5,1.1,1.4,1.0,0.7,0.5,6.5,8.2,6.1,4.7,3.6,6,6,1,6,5,12.4,12.5,12.4,10.6,10.3,4.1,4.8,2.1,2.4,1.3,7,4,2,2,5,1020.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,0.6,-2.2,0.7,0.8,-2.7,0.0,0.0,0.0,0.0,0.0
207c524a,2,15.5,14.8,13.5,15.4,11.5,2.1,2.2,0.8,1.0,0.7,12.7,14.7,4.5,5.4,7.4,7,6,6,2,7,18.4,19.7,19.3,18.1,14.7,7.0,7.1,1.8,3.0,2.3,7,4,2,1,1,1008.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,11.7,11.1,9.3,12.3,6.6,20.0,11.5,14.5,14.0,27.0
208adcad,1,21.4,20.2,20.4,21.3,17.0,2.2,1.9,1.0,1.3,0.6,10.5,8.9,7.2,7.3,6.3,4,4,6,6,4,28.4,27.5,27.3,28.3,24.0,6.5,5.4,2.6,4.2,2.0,4,6,6,6,6,1011.6,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,16.4,14.6,15.6,18.3,12.9,0.0,0.0,0.0,0.0,0.0
209c3389,0,20.1,19.5,19.0,19.9,17.5,2.1,2.9,0.7,0.9,1.2,8.8,11.6,7.1,9.8,12.1,3,6,6,3,3,22.0,21.7,21.9,23.2,21.2,6.1,6.8,2.6,4.3,4.2,3,6,6,7,1,1000.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.1,17.6,16.6,18.3,13.9,81.5,57.0,96.5,168.5,179.5
21b3d099,2,17.6,18.2,16.8,17.4,14.0,2.5,2.6,1.0,1.1,0.5,13.3,10.3,6.5,7.5,5.4,6,6,6,6,7,24.8,26.4,24.3,25.3,21.4,8.5,5.7,2.8,4.6,2.4,7,6,6,6,3,1002.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,11.8,12.3,11.7,12.9,9.6,3.0,0.0,0.5,6.0,9.5
21f24632,2,8.8,8.4,6.4,9.3,5.0,2.5,2.3,1.2,1.8,1.4,12.4,16.1,7.2,11.8,13.4,7,6,6,6,3,17.9,18.9,16.3,19.8,14.0,7.7,7.3,2.9,6.6,4.0,7,6,6,6,3,1010.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.4,-1.3,-1.5,0.3,-3.0,0.0,0.0,0.0,0.0,0.0
2223946a,2,23.3,22.8,20.7,23.2,18.1,2.6,1.6,0.7,1.1,0.8,11.4,8.1,6.4,7.5,6.2,3,5,6,6,1,31.1,30.2,26.9,31.6,26.2,7.7,4.3,2.5,3.9,2.6,7,4,6,6,4,1006.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.5,17.4,16.6,17.7,12.4,0.0,0.0,0.0,0.0,0.0
222cd53f,1,14.0,13.5,13.4,14.9,10.5,2.6,3.3,1.5,2.2,1.0,11.6,12.7,8.9,8.9,8.1,6,4,7,4,6,24.6,23.9,21.6,24.6,20.3,7.2,7.1,3.4,5.0,3.0,6,6,6,6,4,1015.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,5.3,3.9,5.1,6.6,1.8,0.0,0.0,0.0,0.0,0.0
226c3e95,2,12.9,11.6,10.1,13.5,8.2,3.7,2.2,1.2,1.5,1.4,13.4,9.7,10.0,10.2,10.1,6,2,6,6,3,19.4,17.5,17.9,21.4,14.8,8.7,5.7,3.4,5.2,4.6,6,2,6,6,3,1011.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,6.7,5.5,4.3,7.0,1.9,0.0,0.0,0.0,0.0,0.0
229b70a3,2,3.3,2.6,1.4,3.7,-0.6,2.9,2.8,1.0,1.5,1.5,14.3,11.4,8.2,9.4,9.8,7,3,1,4,7,10.2,9.3,9.0,11.7,5.2,9.3,6.3,2.9,5.4,3.8,7,3,6,6,3,1015.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-2.4,-3.3,-4.3,-2.6,-5.9,0.0,0.0,0.0,0.0,0.0
230455c4,2,18.2,18.1,15.9,18.3,14.2,3.0,2.1,1.0,1.5,1.3,13.3,11.2,6.5,8.1,8.3,7,7,6,6,7,26.1,25.8,23.3,27.3,22.1,9.2,6.2,2.5,4.4,3.2,7,6,6,6,3,1002.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,10.3,10.1,10.9,10.6,8.0,0.0,0.0,0.0,0.0,0.0
230e1be1,2,17.7,17.3,16.3,17.4,13.8,1.5,1.5,0.8,0.9,0.5,5.8,7.5,5.3,4.2,3.4,6,4,3,6,6,21.8,22.1,22.5,22.4,18.5,4.1,3.6,2.1,2.6,1.2,6,4,2,6,3,1008.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,13.2,13.2,12.5,12.1,8.5,0.0,0.0,0.0,0.0,0.0
23a3bc46,1,9.0,8.9,7.2,9.9,4.9,2.6,3.5,1.2,1.8,1.0,11.7,13.5,7.6,10.6,7.2,4,4,6,6,1,18.6,17.7,16.7,19.3,13.3,7.4,7.2,3.4,5.2,2.9,6,4,6,6,4,1014.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.2,-0.2,-0.6,1.2,-2.7,0.0,0.0,0.0,0.0,0.0
2418bbb9,2,2.5,1.8,1.7,2.1,0.4,1.4,2.6,0.9,0.5,0.8,7.2,11.1,4.9,3.7,5.8,0,2,6,6,3,11.5,8.0,9.8,10.8,7.8,4.7,7.1,2.0,1.7,2.7,2,2,6,5,4,1020.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-3.4,-3.1,-3.1,-2.7,-4.3,0.0,0.0,0.0,0.0,0.0
241c9755,2,26.8,25.6,24.1,26.3,22.1,3.7,1.5,1.1,1.1,0.9,15.3,8.8,7.9,7.8,6.7,7,6,6,2,3,34.3,33.6,32.0,36.0,30.1,10.4,4.9,2.8,4.7,2.8,7,6,6,2,3,1007.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.5,19.5,19.0,19.8,15.6,0.0,0.0,0.0,0.0,0.0
25686a38,2,20.7,20.3,19.6,21.1,16.3,2.4,2.4,1.3,1.7,0.7,11.7,11.7,7.3,7.9,5.2,4,4,6,6,6,29.2,29.1,28.0,29.4,25.3,7.5,6.4,2.8,4.7,2.0,4,6,6,6,6,1000.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,14.8,13.1,12.8,15.3,10.3,0.0,0.0,0.0,0.0,0.0
25f3b1af,0,18.7,18.2,17.6,18.5,15.6,1.6,1.8,0.4,0.7,0.4,5.2,7.7,2.6,2.9,3.5,6,6,3,2,5,21.4,19.9,19.8,20.7,18.0,3.9,5.0,1.4,2.1,1.5,3,6,6,2,5,1009.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.8,15.8,15.4,15.0,11.0,8.0,7.0,15.0,11.5,9.5
2843832e,2,24.7,24.2,22.7,24.4,20.0,1.5,3.0,1.0,1.2,0.8,6.4,9.6,5.0,6.2,5.7,2,1,6,6,4,32.1,30.4,31.0,32.6,27.2,3.9,5.5,2.0,3.9,2.5,2,2,6,6,6,1003.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,19.3,19.7,18.1,19.0,15.2,0.0,0.0,0.0,0.0,0.0
28c35bd7,1,4.2,3.6,4.8,4.9,3.0,1.1,0.6,0.9,0.6,0.4,4.8,3.3,5.7,3.3,4.0,2,2,1,6,7,7.1,7.3,8.2,8.3,8.4,3.5,2.0,2.2,2.2,2.0,2,2,2,2,3,1004.0,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,1.3,-0.2,1.4,1.9,0.0,4.5,5.0,8.5,3.0,12.5
28f97a81,2,22.2,20.9,20.1,22.2,17.9,2.0,1.3,0.6,1.3,0.5,8.2,6.7,5.6,6.0,4.7,4,4,6,6,6,27.3,27.4,25.8,28.5,24.3,5.5,3.5,1.7,3.7,2.1,6,6,6,6,6,1016.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.4,16.0,17.3,18.3,14.0,0.0,0.0,0.0,0.0,0.0
29043918,0,27.3,27.6,26.1,27.8,23.4,2.4,3.3,1.0,1.2,0.7,10.4,10.2,6.1,7.9,5.8,2,2,6,6,6,34.5,34.4,34.6,36.5,31.1,6.4,6.5,2.7,4.4,2.9,0,2,6,6,4,997.5,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,24.0,23.7,21.7,23.1,19.2,11.5,0.0,1.0,0.0,15.5
29381b85,1,4.4,2.5,2.1,4.4,0.6,2.7,1.1,0.4,1.0,0.6,12.2,6.8,4.3,5.9,6.1,7,6,6,6,4,10.5,7.2,7.6,12.4,8.1,8.3,4.9,1.5,3.3,2.5,3,6,6,6,4,1016.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.4,-4.0,-0.9,-1.8,-5.0,0.0,0.5,0.5,0.0,1.0
295d55b9,1,17.9,17.9,16.8,18.2,13.1,3.0,2.4,1.3,2.1,0.7,13.6,12.5,7.8,8.9,6.0,4,4,6,6,6,25.4,26.1,24.8,26.4,22.3,8.5,6.6,3.1,4.8,2.3,4,4,6,6,4,1014.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,11.8,11.6,10.3,11.4,6.6,0.0,0.0,0.0,0.0,0.0
29b6c876,2,15.2,13.4,13.2,15.3,11.2,3.2,1.3,1.2,1.3,1.0,12.3,7.9,5.9,8.2,8.2,3,4,6,6,4,22.6,19.8,19.6,24.9,19.4,8.7,4.2,2.4,4.6,3.5,3,4,6,6,6,1009.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,6.8,4.4,6.1,6.1,1.7,0.0,0.0,0.0,0.0,0.0
2a064f46,2,6.7,6.1,4.0,6.6,2.5,2.9,2.2,0.9,1.1,1.0,14.4,13.2,7.1,8.1,8.9,7,3,6,6,3,14.5,12.6,12.6,15.3,9.9,9.9,7.7,2.4,4.1,3.4,7,3,6,6,3,1017.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,1.3,0.4,-0.2,1.5,-2.1,0.0,0.0,0.0,0.0,0.0
2a387097,1,26.9,26.6,24.4,26.1,22.2,2.0,1.9,0.9,1.5,0.6,11.4,9.4,7.2,10.8,8.8,4,6,7,6,4,34.3,34.3,33.5,35.2,31.1,7.7,4.6,2.5,5.8,2.0,6,6,6,6,4,1007.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,22.8,21.8,20.5,21.6,17.4,0.0,0.0,0.0,0.0,0.0
2a45b45b,2,3.5,2.2,1.5,3.4,0.3,1.1,1.4,0.8,0.7,0.6,5.1,6.7,4.2,4.3,4.2,6,2,1,6,1,10.0,8.4,7.8,11.5,8.4,3.6,3.8,1.9,2.6,1.5,6,2,6,6,3,1023.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-1.6,-2.5,-2.3,-1.8,-4.8,0.0,0.0,0.0,0.0,0.0
2ae2f18f,1,7.5,6.6,6.7,8.2,3.5,2.3,2.2,1.4,1.5,0.9,10.6,11.3,7.4,8.9,8.1,7,4,6,6,6,17.7,16.8,15.5,17.9,12.8,7.8,6.4,3.2,4.8,3.4,7,4,6,6,4,1023.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.5,-2.4,0.3,1.2,-3.5,0.0,0.0,0.0,0.0,0.0
2afaaccf,2,-2.2,-2.8,-4.1,-0.9,-6.4,3.6,2.9,0.9,1.6,1.3,12.0,10.6,6.2,9.4,9.5,6,3,6,5,7,2.2,1.2,-0.9,4.4,-3.1,7.8,6.1,2.1,5.3,3.5,6,6,6,2,3,1005.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-4.7,-5.6,-7.0,-5.2,-10.0,0.5,0.0,7.5,0.0,0.5
2b1e4201,2,5.8,4.9,3.2,6.3,2.3,1.8,3.0,0.8,1.0,1.1,10.1,13.0,5.6,5.9,10.4,3,2,7,6,6,13.7,11.8,10.9,14.8,10.1,6.7,7.8,2.1,3.4,3.5,7,2,6,6,7,1017.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,1.2,0.0,-0.5,1.8,-3.2,0.0,0.0,0.0,0.0,0.0
2bdb4125,1,15.5,15.2,15.2,16.2,11.6,2.1,2.0,1.6,2.0,1.1,13.4,13.0,7.9,10.2,8.9,6,6,6,2,5,24.9,23.6,24.7,26.2,21.9,7.6,7.5,3.3,6.5,2.6,4,6,6,2,4,1012.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,7.9,6.1,7.0,7.8,3.3,0.0,0.0,0.0,0.0,0.0
2bf7f244,2,26.9,27.1,25.4,28.0,23.1,2.0,1.5,0.9,1.7,0.7,16.6,8.7,6.3,7.0,5.3,7,4,6,6,6,33.5,34.5,32.8,35.1,29.8,10.9,4.0,2.8,3.9,2.2,7,4,6,6,4,1006.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,23.5,22.0,21.9,24.1,19.4,15.0,9.0,0.0,0.0,0.5
2bf8f976,1,13.3,13.4,12.7,13.4,10.6,1.3,1.6,0.6,0.7,0.2,7.1,10.5,4.6,5.5,2.0,6,4,6,7,1,15.2,18.8,15.6,15.6,13.0,4.6,5.0,1.6,2.8,1.0,6,4,6,7,3,1017.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,11.7,10.6,10.5,11.9,9.1,7.5,2.0,7.0,13.5,15.0
2c01217f,1,25.5,25.1,23.2,23.9,21.5,1.7,1.2,1.1,1.3,0.6,8.3,7.4,5.8,7.0,5.5,6,5,6,2,6,34.0,34.9,32.5,33.8,29.8,5.7,4.6,2.2,4.8,2.0,6,5,6,2,4,1008.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.0,19.4,18.7,19.2,16.5,3.0,0.5,5.0,13.0,2.5
2cff5476,2,25.2,24.0,22.3,23.8,20.4,2.9,2.9,0.4,0.9,0.5,8.7,11.5,2.8,3.1,3.0,6,6,7,2,4,29.5,29.1,26.0,29.5,25.2,6.3,6.8,1.3,1.9,1.7,6,6,6,2,4,1009.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,22.4,20.5,20.5,20.9,17.6,0.0,1.5,1.0,0.0,2.0
2db13d6b,1,8.0,7.3,4.5,8.5,3.8,4.2,2.5,1.0,1.3,1.4,15.2,9.1,6.9,8.9,10.6,7,4,5,7,1,14.3,15.2,13.1,16.6,10.4,10.3,5.7,2.6,4.5,4.0,6,5,5,6,3,1011.8,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,3.5,1.2,-0.1,3.5,-1.5,2.5,2.5,5.5,0.0,2.0
2dc2d614,1,22.6,21.9,20.4,21.5,18.6,1.8,2.1,0.8,1.0,0.5,8.2,9.5,6.7,5.8,4.5,6,6,6,6,4,29.0,29.3,26.5,28.4,24.8,5.5,4.7,2.6,3.2,1.9,6,6,6,6,1,1010.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.7,17.1,16.4,17.4,14.2,0.0,0.0,0.0,0.0,2.0
2dcea3ac,1,23.9,23.7,23.8,23.7,20.5,3.2,3.6,1.5,1.7,1.0,14.2,21.3,13.6,12.3,7.4,6,6,7,7,4,30.6,31.1,28.6,31.0,23.5,8.8,10.3,4.6,6.1,2.3,6,6,6,3,5,1009.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.6,19.9,20.2,21.2,19.4,13.5,2.0,6.0,37.0,43.5
2df09c7d,2,8.8,7.8,8.7,8.3,6.5,1.4,1.7,1.1,0.7,0.7,6.7,10.2,9.1,4.1,5.7,4,6,3,6,1,18.1,17.0,18.2,16.1,15.4,4.9,5.7,2.4,2.6,2.5,6,6,2,6,4,1026.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,0.7,-0.7,2.1,1.9,-1.8,0.0,0.0,0.0,0.0,0.0
2e81f3f1,2,16.6,16.7,16.0,17.0,14.1,1.1,2.0,0.6,0.5,0.2,5.3,7.2,3.6,3.9,2.2,3,1,1,4,4,18.3,19.2,18.4,18.3,16.6,2.8,4.4,1.3,1.8,1.0,3,2,2,6,6,999.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,15.0,14.8,14.0,15.4,12.6,41.0,13.0,41.5,55.0,80.5
2ecec8be,2,7.0,5.8,3.2,5.8,3.0,3.9,2.7,0.6,1.3,1.6,14.9,14.4,6.8,11.8,10.2,7,3,1,0,7,11.9,11.1,9.4,12.6,7.2,10.3,8.5,1.6,5.2,4.2,7,3,3,5,3,1006.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,1.5,1.3,-0.2,0.8,-0.8,0.0,0.0,0.0,0.0,0.0
2ef020bc,2,3.9,2.8,4.3,4.2,1.7,0.7,0.7,1.2,0.4,0.5,3.2,5.2,6.0,2.2,3.9,3,4,1,2,3,10.3,11.0,11.9,12.8,10.2,1.9,3.0,2.1,1.5,1.7,3,4,2,2,6,1025.4,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.6,-2.9,-0.2,-0.6,-3.2,0.0,0.0,0.0,0.0,0.0
2f014a6d,2,3.3,1.6,1.4,2.7,-0.3,2.3,1.7,1.0,0.7,0.8,12.4,10.5,5.3,4.6,6.4,6,4,6,6,3,11.1,10.7,8.9,12.3,7.4,9.0,6.3,2.3,2.9,2.5,7,6,6,6,3,1011.2,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-2.4,-4.2,-1.4,-2.1,-4.4,0.0,0.0,0.0,0.0,0.0
2f7195ff,0,22.5,21.7,21.2,21.4,19.5,3.1,3.6,0.4,1.2,0.9,9.8,12.7,3.9,6.0,8.4,4,6,6,6,1,26.3,24.9,25.0,25.7,22.9,5.8,7.8,1.3,2.5,2.8,6,6,6,2,1,1009.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,20.1,19.1,19.2,18.4,16.8,11.5,5.0,16.5,31.0,22.0
2fea2845,1,19.4,18.8,18.1,20.0,15.1,2.3,2.4,1.2,2.1,0.8,10.4,10.3,6.5,7.6,6.6,4,6,6,6,6,27.4,26.8,26.0,27.9,23.6,6.4,6.3,2.5,4.8,2.5,4,6,6,6,6,1007.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,13.9,12.0,11.0,13.8,8.0,0.0,0.0,0.0,0.0,0.0
30287ddf,2,3.2,2.1,1.2,3.7,0.0,3.1,1.6,0.7,1.0,1.3,16.7,9.1,3.7,7.6,8.1,7,5,0,6,5,8.4,7.1,5.0,9.6,4.0,11.8,5.3,1.8,3.9,3.2,7,5,0,6,5,1013.9,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-0.4,-1.5,-2.3,-1.1,-4.0,2.0,3.0,1.5,2.0,2.5
3134f4ff,2,5.7,5.1,4.0,6.6,1.3,3.6,2.3,1.4,1.5,1.5,15.8,10.4,9.3,8.2,11.6,7,4,6,6,3,13.7,14.6,13.1,15.9,9.6,10.7,5.8,4.2,4.5,5.4,7,6,6,6,3,1011.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,-2.9,-4.6,-3.2,-1.6,-6.1,0.0,0.0,0.0,0.0,0.0
31476521,2,16.8,14.5,13.4,17.3,12.7,2.0,2.9,1.1,1.2,0.7,8.7,10.8,4.8,5.9,6.4,2,2,6,6,7,23.6,20.6,21.6,24.6,19.5,5.4,7.1,2.0,3.6,2.0,5,2,0,6,4,1012.3,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,11.3,9.0,9.1,11.6,6.9,0.0,0.0,0.0,0.0,0.0
3197c1be,1,22.8,22.1,21.2,22.9,18.7,2.1,1.5,0.7,1.5,0.5,9.5,10.2,5.9,7.0,7.2,6,4,6,6,3,29.4,28.3,27.6,30.8,26.0,6.4,5.3,2.4,4.3,2.4,6,4,6,6,3,1001.7,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,18.6,17.7,18.3,16.9,14.0,0.5,1.0,2.5,0.0,0.0
31e4943e,1,20.3,20.0,19.0,21.1,16.1,2.3,2.1,0.9,1.6,0.6,10.2,10.7,5.1,8.9,5.1,4,4,6,6,6,27.4,25.9,26.5,28.3,23.4,6.5,6.5,2.2,5.2,2.4,6,4,6,6,3,1008.1,1010.2162544169602,1010.2162544169602,1010.2162544169602,1010.2162544169602,16.2,15.2,13.9,16.4,11.0,0.5,3.0,0.0,0.0,0.5
